"Kod";"Nazwa";"nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł]";
2205000;"Powiat kartuski";2471;
2206000;"Powiat kościerski";3673;
2207000;"Powiat kwidzyński";2940;
2208000;"Powiat lęborski";2257;
2209000;"Powiat malborski";3358;
2210000;"Powiat nowodworski";3017;
2211000;"Powiat pucki";4786;
2212000;"Powiat słupski";4212;
2213000;"Powiat starogardzki";3214;
2214000;"Powiat tczewski";3665;
2215000;"Powiat wejherowski";3083;
2216000;"Powiat sztumski";1796;
2261000;"Powiat m. Gdańsk";9949;
2262000;"Powiat m. Gdynia";6321;
2263000;"Powiat m. Słupsk";5071;
2264000;"Powiat m. Sopot";4345;
2401000;"Powiat będziński";4401;
2402000;"Powiat bielski";7219;
2403000;"Powiat cieszyński";3397;
2404000;"Powiat częstochowski";2131;
2405000;"Powiat gliwicki";5741;
2406000;"Powiat kłobucki";3882;
2407000;"Powiat lubliniecki";3575;
2408000;"Powiat mikołowski";3599;
2409000;"Powiat myszkowski";3029;
2410000;"Powiat pszczyński";6913;
2411000;"Powiat raciborski";5226;
2412000;"Powiat rybnicki";2895;
2413000;"Powiat tarnogórski";3875;
2414000;"Powiat bieruńsko-lędziński";8346;
2415000;"Powiat wodzisławski";3525;
2416000;"Powiat zawierciański";3954;
2417000;"Powiat żywiecki";2657;
2461000;"Powiat m. Bielsko-Biała";7048;
2462000;"Powiat m. Bytom";1912;
2463000;"Powiat m. Chorzów";6779;
2464000;"Powiat m. Częstochowa";3781;
2465000;"Powiat m. Dąbrowa Górnicza";11159;
2466000;"Powiat m. Gliwice";11560;
2467000;"Powiat m. Jastrzębie-Zdrój";5839;
2468000;"Powiat m. Jaworzno";3134;
2469000;"Powiat m. Katowice";8100;
2470000;"Powiat m. Mysłowice";3462;
2471000;"Powiat m. Piekary Śląskie";2027;
2472000;"Powiat m. Ruda Śląska";3428;
2473000;"Powiat m. Rybnik";4893;
2474000;"Powiat m. Siemianowice Śląskie";3471;
2475000;"Powiat m. Sosnowiec";3753;
2476000;"Powiat m. Świętochłowice";988;
2477000;"Powiat m. Tychy";9153;
2478000;"Powiat m. Zabrze";4767;
2479000;"Powiat m. Żory";4969;
2601000;"Powiat buski";1486;
2602000;"Powiat jędrzejowski";1879;
2603000;"Powiat kazimierski";1360;
2604000;"Powiat kielecki";1529;
2605000;"Powiat konecki";1870;
2606000;"Powiat opatowski";1761;
2607000;"Powiat ostrowiecki";2799;
2608000;"Powiat pińczowski";1675;
2609000;"Powiat sandomierski";1307;
2610000;"Powiat skarżyski";2234;
2611000;"Powiat starachowicki";5470;
2612000;"Powiat staszowski";3425;
2613000;"Powiat włoszczowski";3466;
2661000;"Powiat m. Kielce";5628;
2801000;"Powiat bartoszycki";935;
2802000;"Powiat braniewski";1694;
2803000;"Powiat działdowski";3053;
2804000;"Powiat elbląski";1969;
2805000;"Powiat ełcki";5025;
2806000;"Powiat giżycki";2331;
2807000;"Powiat iławski";3584;
2808000;"Powiat kętrzyński";1589;
2809000;"Powiat lidzbarski";2660;
2810000;"Powiat mrągowski";5523;
2811000;"Powiat nidzicki";2026;
2812000;"Powiat nowomiejski";2112;
2813000;"Powiat olecki";2004;
2814000;"Powiat olsztyński";3056;
2815000;"Powiat ostródzki";2481;
2816000;"Powiat piski";1263;
2817000;"Powiat szczycieński";3106;
2818000;"Powiat gołdapski";2449;
2819000;"Powiat węgorzewski";990;
2861000;"Powiat m. Elbląg";3281;
2862000;"Powiat m. Olsztyn";8877;
3001000;"Powiat chodzieski";4165;
3002000;"Powiat czarnkowsko-trzcianecki";6229;
3003000;"Powiat gnieźnieński";2777;
3004000;"Powiat gostyński";5581;
3005000;"Powiat grodziski";4007;
3006000;"Powiat jarociński";3625;
3007000;"Powiat kaliski";3639;
3008000;"Powiat kępiński";7258;
3009000;"Powiat kolski";3064;
3010000;"Powiat koniński";2156;
3011000;"Powiat kościański";2910;
3012000;"Powiat krotoszyński";16649;
3013000;"Powiat leszczyński";3990;
3014000;"Powiat międzychodzki";3577;
3015000;"Powiat nowotomyski";5258;
3016000;"Powiat obornicki";3612;
3017000;"Powiat ostrowski";4316;
3018000;"Powiat ostrzeszowski";3388;
3019000;"Powiat pilski";5212;
3020000;"Powiat pleszewski";3268;
3021000;"Powiat poznański";7117;
3022000;"Powiat rawicki";7241;
3023000;"Powiat słupecki";2186;
3024000;"Powiat szamotulski";8023;
3025000;"Powiat średzki";4939;
3026000;"Powiat śremski";2829;
3027000;"Powiat turecki";3588;
3028000;"Powiat wągrowiecki";2322;
3029000;"Powiat wolsztyński";2605;
3030000;"Powiat wrzesiński";3990;
3031000;"Powiat złotowski";2320;
3061000;"Powiat m. Kalisz";4188;
3062000;"Powiat m. Konin";15485;
3063000;"Powiat m. Leszno";4867;
3064000;"Powiat m. Poznań";8983;
3201000;"Powiat białogardzki";2851;
3202000;"Powiat choszczeński";5864;
3203000;"Powiat drawski";2598;
3204000;"Powiat goleniowski";5668;
3205000;"Powiat gryficki";3857;
3206000;"Powiat gryfiński";8834;
3207000;"Powiat kamieński";2343;
3208000;"Powiat kołobrzeski";2385;
3209000;"Powiat koszaliński";3406;
3210000;"Powiat myśliborski";2850;
3211000;"Powiat policki";15437;
3212000;"Powiat pyrzycki";2624;
3213000;"Powiat sławieński";1197;
3214000;"Powiat stargardzki";5912;
3215000;"Powiat szczecinecki";4166;
3216000;"Powiat świdwiński";1489;
3217000;"Powiat wałecki";2670;
3218000;"Powiat łobeski";1926;
3261000;"Powiat m. Koszalin";3294;
3262000;"Powiat m. Szczecin";5429;
3263000;"Powiat m. Świnoujście";16988;
