"Kod";"Nazwa";"poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba]";
1810000;"Powiat łańcucki";4,21;
1811000;"Powiat mielecki";3,27;
1812000;"Powiat niżański";2,48;
1813000;"Powiat przemyski";3,49;
1814000;"Powiat przeworski";5,47;
1815000;"Powiat ropczycko-sędziszowski";3,36;
1816000;"Powiat rzeszowski";4,66;
1817000;"Powiat sanocki";5,52;
1818000;"Powiat stalowowolski";4,26;
1819000;"Powiat strzyżowski";5,12;
1820000;"Powiat tarnobrzeski";4,80;
1821000;"Powiat leski";4,77;
1861000;"Powiat m. Krosno";4,88;
1862000;"Powiat m. Przemyśl";5,27;
1863000;"Powiat m. Rzeszów";4,90;
1864000;"Powiat m. Tarnobrzeg";4,39;
2001000;"Powiat augustowski";5,40;
2002000;"Powiat białostocki";6,61;
2003000;"Powiat bielski";13,84;
2004000;"Powiat grajewski";5,75;
2005000;"Powiat hajnowski";12,83;
2006000;"Powiat kolneński";4,12;
2007000;"Powiat łomżyński";7,18;
2008000;"Powiat moniecki";3,69;
2009000;"Powiat sejneński";2,53;
2010000;"Powiat siemiatycki";10,47;
2011000;"Powiat sokólski";6,33;
2012000;"Powiat suwalski";4,41;
2013000;"Powiat wysokomazowiecki";3,50;
2014000;"Powiat zambrowski";3,86;
2061000;"Powiat m. Białystok";5,58;
2062000;"Powiat m. Łomża";6,80;
2063000;"Powiat m. Suwałki";7,62;
2201000;"Powiat bytowski";6,66;
2202000;"Powiat chojnicki";7,48;
2203000;"Powiat człuchowski";9,68;
2204000;"Powiat gdański";4,91;
2205000;"Powiat kartuski";4,97;
2206000;"Powiat kościerski";4,73;
2207000;"Powiat kwidzyński";4,86;
2208000;"Powiat lęborski";5,34;
2209000;"Powiat malborski";6,37;
2210000;"Powiat nowodworski";2,76;
2211000;"Powiat pucki";6,48;
2212000;"Powiat słupski";5,63;
2213000;"Powiat starogardzki";4,61;
2214000;"Powiat tczewski";5,81;
2215000;"Powiat wejherowski";4,69;
2216000;"Powiat sztumski";8,28;
2261000;"Powiat m. Gdańsk";4,16;
2262000;"Powiat m. Gdynia";5,15;
2263000;"Powiat m. Słupsk";8,48;
2264000;"Powiat m. Sopot";3,31;
2401000;"Powiat będziński";5,83;
2402000;"Powiat bielski";4,87;
2403000;"Powiat cieszyński";4,65;
2404000;"Powiat częstochowski";3,77;
2405000;"Powiat gliwicki";5,18;
2406000;"Powiat kłobucki";3,41;
2407000;"Powiat lubliniecki";5,00;
2408000;"Powiat mikołowski";8,50;
2409000;"Powiat myszkowski";2,87;
2410000;"Powiat pszczyński";7,14;
2411000;"Powiat raciborski";7,21;
2412000;"Powiat rybnicki";6,56;
2413000;"Powiat tarnogórski";5,30;
2414000;"Powiat bieruńsko-lędziński";15,52;
2415000;"Powiat wodzisławski";4,35;
2416000;"Powiat zawierciański";5,81;
2417000;"Powiat żywiecki";4,88;
2461000;"Powiat m. Bielsko-Biała";4,70;
2462000;"Powiat m. Bytom";5,00;
2463000;"Powiat m. Chorzów";7,10;
2464000;"Powiat m. Częstochowa";4,01;
2465000;"Powiat m. Dąbrowa Górnicza";5,78;
2466000;"Powiat m. Gliwice";7,10;
2467000;"Powiat m. Jastrzębie-Zdrój";7,43;
2468000;"Powiat m. Jaworzno";7,63;
2469000;"Powiat m. Katowice";5,30;
2470000;"Powiat m. Mysłowice";7,40;
2471000;"Powiat m. Piekary Śląskie";7,94;
2472000;"Powiat m. Ruda Śląska";11,87;
2473000;"Powiat m. Rybnik";8,33;
2474000;"Powiat m. Siemianowice Śląskie";5,89;
2475000;"Powiat m. Sosnowiec";6,53;
2476000;"Powiat m. Świętochłowice";5,34;
2477000;"Powiat m. Tychy";5,22;
2478000;"Powiat m. Zabrze";6,65;
2479000;"Powiat m. Żory";6,62;
2601000;"Powiat buski";4,42;
2602000;"Powiat jędrzejowski";4,57;
2603000;"Powiat kazimierski";1,47;
2604000;"Powiat kielecki";4,04;
2605000;"Powiat konecki";4,30;
2606000;"Powiat opatowski";2,92;
2607000;"Powiat ostrowiecki";4,70;
2608000;"Powiat pińczowski";5,13;
2609000;"Powiat sandomierski";5,12;
2610000;"Powiat skarżyski";4,48;
2611000;"Powiat starachowicki";7,34;
2612000;"Powiat staszowski";4,39;
2613000;"Powiat włoszczowski";1,91;
2661000;"Powiat m. Kielce";7,25;
2801000;"Powiat bartoszycki";7,73;
2802000;"Powiat braniewski";4,50;
2803000;"Powiat działdowski";7,59;
2804000;"Powiat elbląski";8,32;
2805000;"Powiat ełcki";4,91;
2806000;"Powiat giżycki";7,87;
2807000;"Powiat iławski";6,17;
2808000;"Powiat kętrzyński";9,35;
2809000;"Powiat lidzbarski";8,24;
2810000;"Powiat mrągowski";5,21;
2811000;"Powiat nidzicki";6,04;
2812000;"Powiat nowomiejski";4,23;
2813000;"Powiat olecki";4,41;
2814000;"Powiat olsztyński";5,51;
2815000;"Powiat ostródzki";6,12;
2816000;"Powiat piski";6,24;
2817000;"Powiat szczycieński";7,86;
2818000;"Powiat gołdapski";7,03;
2819000;"Powiat węgorzewski";9,62;
2861000;"Powiat m. Elbląg";7,10;
2862000;"Powiat m. Olsztyn";4,81;
3001000;"Powiat chodzieski";7,39;
3002000;"Powiat czarnkowsko-trzcianecki";8,59;
3003000;"Powiat gnieźnieński";5,98;
3004000;"Powiat gostyński";4,98;
3005000;"Powiat grodziski";5,72;
3006000;"Powiat jarociński";4,26;
3007000;"Powiat kaliski";4,75;
3008000;"Powiat kępiński";3,74;
3009000;"Powiat kolski";5,41;
3010000;"Powiat koniński";4,25;
3011000;"Powiat kościański";4,64;
3012000;"Powiat krotoszyński";3,78;
3013000;"Powiat leszczyński";8,03;
3014000;"Powiat międzychodzki";4,54;
3015000;"Powiat nowotomyski";8,17;
3016000;"Powiat obornicki";6,53;
3017000;"Powiat ostrowski";8,21;
3018000;"Powiat ostrzeszowski";5,28;
3019000;"Powiat pilski";8,03;
3020000;"Powiat pleszewski";5,27;
3021000;"Powiat poznański";5,36;
3022000;"Powiat rawicki";7,39;
3023000;"Powiat słupecki";5,52;
3024000;"Powiat szamotulski";7,18;
3025000;"Powiat średzki";5,32;
3026000;"Powiat śremski";5,52;
3027000;"Powiat turecki";4,55;
3028000;"Powiat wągrowiecki";4,51;
3029000;"Powiat wolsztyński";4,64;
3030000;"Powiat wrzesiński";4,74;
3031000;"Powiat złotowski";3,65;
3061000;"Powiat m. Kalisz";5,63;
3062000;"Powiat m. Konin";5,75;
3063000;"Powiat m. Leszno";6,07;
3064000;"Powiat m. Poznań";4,53;
3201000;"Powiat białogardzki";7,64;
3202000;"Powiat choszczeński";4,71;
3203000;"Powiat drawski";6,17;
3204000;"Powiat goleniowski";6,57;
3205000;"Powiat gryficki";6,45;
3206000;"Powiat gryfiński";5,40;
3207000;"Powiat kamieński";2,75;
3208000;"Powiat kołobrzeski";5,00;
3209000;"Powiat koszaliński";7,78;
3210000;"Powiat myśliborski";5,56;
3211000;"Powiat policki";5,17;
3212000;"Powiat pyrzycki";5,26;
3213000;"Powiat sławieński";3,92;
3214000;"Powiat stargardzki";6,78;
3215000;"Powiat szczecinecki";4,63;
3216000;"Powiat świdwiński";3,67;
3217000;"Powiat wałecki";7,86;
3218000;"Powiat łobeski";3,80;
3261000;"Powiat m. Koszalin";8,85;
3262000;"Powiat m. Szczecin";4,68;
3263000;"Powiat m. Świnoujście";6,69;
