"Kod";"Nazwa";"współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%]";
2007000;"Powiat łomżyński";80,17;
2008000;"Powiat moniecki";84,51;
2009000;"Powiat sejneński";83,13;
2010000;"Powiat siemiatycki";87,24;
2011000;"Powiat sokólski";86,15;
2012000;"Powiat suwalski";75,43;
2013000;"Powiat wysokomazowiecki";89,68;
2014000;"Powiat zambrowski";90,28;
2061000;"Powiat m. Białystok";113,27;
2062000;"Powiat m. Łomża";104,75;
2063000;"Powiat m. Suwałki";100,47;
2201000;"Powiat bytowski";89,79;
2202000;"Powiat chojnicki";93,92;
2203000;"Powiat człuchowski";88,43;
2204000;"Powiat gdański";96,29;
2205000;"Powiat kartuski";92,70;
2206000;"Powiat kościerski";94,50;
2207000;"Powiat kwidzyński";89,93;
2208000;"Powiat lęborski";93,44;
2209000;"Powiat malborski";92,09;
2210000;"Powiat nowodworski";88,81;
2211000;"Powiat pucki";89,62;
2212000;"Powiat słupski";85,71;
2213000;"Powiat starogardzki";91,53;
2214000;"Powiat tczewski";95,51;
2215000;"Powiat wejherowski";94,82;
2216000;"Powiat sztumski";83,79;
2261000;"Powiat m. Gdańsk";102,10;
2262000;"Powiat m. Gdynia";96,21;
2263000;"Powiat m. Słupsk";104,21;
2264000;"Powiat m. Sopot";113,80;
2401000;"Powiat będziński";88,58;
2402000;"Powiat bielski";90,26;
2403000;"Powiat cieszyński";93,76;
2404000;"Powiat częstochowski";86,09;
2405000;"Powiat gliwicki";91,72;
2406000;"Powiat kłobucki";91,43;
2407000;"Powiat lubliniecki";94,88;
2408000;"Powiat mikołowski";94,62;
2409000;"Powiat myszkowski";94,36;
2410000;"Powiat pszczyński";95,89;
2411000;"Powiat raciborski";95,85;
2412000;"Powiat rybnicki";93,42;
2413000;"Powiat tarnogórski";93,74;
2414000;"Powiat bieruńsko-lędziński";92,46;
2415000;"Powiat wodzisławski";94,79;
2416000;"Powiat zawierciański";94,55;
2417000;"Powiat żywiecki";98,68;
2461000;"Powiat m. Bielsko-Biała";106,10;
2462000;"Powiat m. Bytom";94,27;
2463000;"Powiat m. Chorzów";98,96;
2464000;"Powiat m. Częstochowa";103,24;
2465000;"Powiat m. Dąbrowa Górnicza";97,81;
2466000;"Powiat m. Gliwice";99,55;
2467000;"Powiat m. Jastrzębie-Zdrój";96,57;
2468000;"Powiat m. Jaworzno";94,53;
2469000;"Powiat m. Katowice";106,52;
2470000;"Powiat m. Mysłowice";91,59;
2471000;"Powiat m. Piekary Śląskie";96,46;
2472000;"Powiat m. Ruda Śląska";93,42;
2473000;"Powiat m. Rybnik";96,56;
2474000;"Powiat m. Siemianowice Śląskie";95,41;
2475000;"Powiat m. Sosnowiec";97,60;
2476000;"Powiat m. Świętochłowice";90,29;
2477000;"Powiat m. Tychy";97,54;
2478000;"Powiat m. Zabrze";96,41;
2479000;"Powiat m. Żory";96,89;
2601000;"Powiat buski";91,71;
2602000;"Powiat jędrzejowski";92,80;
2603000;"Powiat kazimierski";91,25;
2604000;"Powiat kielecki";85,19;
2605000;"Powiat konecki";91,15;
2606000;"Powiat opatowski";86,96;
2607000;"Powiat ostrowiecki";89,71;
2608000;"Powiat pińczowski";92,24;
2609000;"Powiat sandomierski";92,27;
2610000;"Powiat skarżyski";88,71;
2611000;"Powiat starachowicki";91,36;
2612000;"Powiat staszowski";91,90;
2613000;"Powiat włoszczowski";91,96;
2661000;"Powiat m. Kielce";106,40;
2801000;"Powiat bartoszycki";89,56;
2802000;"Powiat braniewski";86,85;
2803000;"Powiat działdowski";92,40;
2804000;"Powiat elbląski";74,81;
2805000;"Powiat ełcki";88,72;
2806000;"Powiat giżycki";90,82;
2807000;"Powiat iławski";92,61;
2808000;"Powiat kętrzyński";87,90;
2809000;"Powiat lidzbarski";89,56;
2810000;"Powiat mrągowski";90,92;
2811000;"Powiat nidzicki";89,33;
2812000;"Powiat nowomiejski";90,07;
2813000;"Powiat olecki";91,43;
2814000;"Powiat olsztyński";77,34;
2815000;"Powiat ostródzki";90,17;
2816000;"Powiat piski";87,12;
2817000;"Powiat szczycieński";89,94;
2818000;"Powiat gołdapski";87,99;
2819000;"Powiat węgorzewski";88,00;
2861000;"Powiat m. Elbląg";97,44;
2862000;"Powiat m. Olsztyn";108,90;
3001000;"Powiat chodzieski";96,87;
3002000;"Powiat czarnkowsko-trzcianecki";93,49;
3003000;"Powiat gnieźnieński";95,38;
3004000;"Powiat gostyński";97,39;
3005000;"Powiat grodziski";94,68;
3006000;"Powiat jarociński";96,36;
3007000;"Powiat kaliski";84,39;
3008000;"Powiat kępiński";99,38;
3009000;"Powiat kolski";93,92;
3010000;"Powiat koniński";86,42;
3011000;"Powiat kościański";95,54;
3012000;"Powiat krotoszyński";95,99;
3013000;"Powiat leszczyński";84,33;
3014000;"Powiat międzychodzki";94,39;
3015000;"Powiat nowotomyski";97,59;
3016000;"Powiat obornicki";93,41;
3017000;"Powiat ostrowski";95,24;
3018000;"Powiat ostrzeszowski";95,98;
3019000;"Powiat pilski";94,99;
3020000;"Powiat pleszewski";91,24;
3021000;"Powiat poznański";88,45;
3022000;"Powiat rawicki";94,67;
3023000;"Powiat słupecki";94,69;
3024000;"Powiat szamotulski";94,52;
3025000;"Powiat średzki";96,80;
3026000;"Powiat śremski";97,64;
3027000;"Powiat turecki";95,31;
3028000;"Powiat wągrowiecki";92,64;
3029000;"Powiat wolsztyński";97,71;
3030000;"Powiat wrzesiński";96,18;
3031000;"Powiat złotowski";90,70;
3061000;"Powiat m. Kalisz";110,33;
3062000;"Powiat m. Konin";116,93;
3063000;"Powiat m. Leszno";116,23;
3064000;"Powiat m. Poznań";113,01;
3201000;"Powiat białogardzki";89,94;
3202000;"Powiat choszczeński";89,15;
3203000;"Powiat drawski";86,90;
3204000;"Powiat goleniowski";92,49;
3205000;"Powiat gryficki";90,75;
3206000;"Powiat gryfiński";89,19;
3207000;"Powiat kamieński";87,77;
3208000;"Powiat kołobrzeski";92,30;
3209000;"Powiat koszaliński";72,89;
3210000;"Powiat myśliborski";92,10;
3211000;"Powiat policki";77,36;
3212000;"Powiat pyrzycki";89,61;
3213000;"Powiat sławieński";88,83;
3214000;"Powiat stargardzki";92,78;
3215000;"Powiat szczecinecki";87,93;
3216000;"Powiat świdwiński";87,78;
3217000;"Powiat wałecki";90,57;
3218000;"Powiat łobeski";87,61;
3261000;"Powiat m. Koszalin";109,73;
3262000;"Powiat m. Szczecin";104,62;
3263000;"Powiat m. Świnoujście";99,31;
