"Kod";"Nazwa";"emisja ogółem na km2;2021;[t]";
2403000;"Powiat cieszyński";150,55;
2404000;"Powiat częstochowski";275,37;
2405000;"Powiat gliwicki";351,46;
2406000;"Powiat kłobucki";36,09;
2407000;"Powiat lubliniecki";35,34;
2408000;"Powiat mikołowski";13483,49;
2409000;"Powiat myszkowski";43,47;
2410000;"Powiat pszczyński";464,76;
2411000;"Powiat raciborski";195,23;
2412000;"Powiat rybnicki";99,44;
2413000;"Powiat tarnogórski";747,42;
2414000;"Powiat bieruńsko-lędziński";463,07;
2415000;"Powiat wodzisławski";1405,22;
2416000;"Powiat zawierciański";279,39;
2417000;"Powiat żywiecki";61,00;
2461000;"Powiat m. Bielsko-Biała";2017,54;
2462000;"Powiat m. Bytom";1652,64;
2463000;"Powiat m. Chorzów";47897,42;
2464000;"Powiat m. Częstochowa";7519,76;
2465000;"Powiat m. Dąbrowa Górnicza";48368,85;
2466000;"Powiat m. Gliwice";3520,40;
2467000;"Powiat m. Jastrzębie-Zdrój";6848,87;
2468000;"Powiat m. Jaworzno";39488,01;
2469000;"Powiat m. Katowice";6055,65;
2470000;"Powiat m. Mysłowice";1585,76;
2471000;"Powiat m. Piekary Śląskie";2259,58;
2472000;"Powiat m. Ruda Śląska";2477,65;
2473000;"Powiat m. Rybnik";35390,75;
2474000;"Powiat m. Siemianowice Śląskie";1114,92;
2475000;"Powiat m. Sosnowiec";1452,56;
2476000;"Powiat m. Świętochłowice";4299,15;
2477000;"Powiat m. Tychy";9902,21;
2478000;"Powiat m. Zabrze";6976,99;
2479000;"Powiat m. Żory";1190,49;
2601000;"Powiat buski";28,52;
2602000;"Powiat jędrzejowski";838,37;
2603000;"Powiat kazimierski";9,59;
2604000;"Powiat kielecki";683,72;
2605000;"Powiat konecki";173,94;
2606000;"Powiat opatowski";2338,13;
2607000;"Powiat ostrowiecki";450,35;
2608000;"Powiat pińczowski";142,41;
2609000;"Powiat sandomierski";199,08;
2610000;"Powiat skarżyski";124,71;
2611000;"Powiat starachowicki";299,73;
2612000;"Powiat staszowski";8934,20;
2613000;"Powiat włoszczowski";484,29;
2661000;"Powiat m. Kielce";3105,55;
2801000;"Powiat bartoszycki";18,48;
2802000;"Powiat braniewski";27,69;
2803000;"Powiat działdowski";51,09;
2804000;"Powiat elbląski";26,57;
2805000;"Powiat ełcki";120,12;
2806000;"Powiat giżycki";35,99;
2807000;"Powiat iławski";86,12;
2808000;"Powiat kętrzyński";26,30;
2809000;"Powiat lidzbarski";59,05;
2810000;"Powiat mrągowski";61,71;
2811000;"Powiat nidzicki";11,69;
2812000;"Powiat nowomiejski";16,60;
2813000;"Powiat olecki";52,73;
2814000;"Powiat olsztyński";16,21;
2815000;"Powiat ostródzki";76,62;
2816000;"Powiat piski";46,70;
2817000;"Powiat szczycieński";34,06;
2819000;"Powiat węgorzewski";5,36;
2861000;"Powiat m. Elbląg";3796,11;
2862000;"Powiat m. Olsztyn";4843,20;
3001000;"Powiat chodzieski";20,51;
3002000;"Powiat czarnkowsko-trzcianecki";238,29;
3003000;"Powiat gnieźnieński";100,22;
3004000;"Powiat gostyński";177,92;
3006000;"Powiat jarociński";18,58;
3007000;"Powiat kaliski";109,28;
3008000;"Powiat kępiński";14,55;
3009000;"Powiat kolski";102,73;
3010000;"Powiat koniński";40,71;
3011000;"Powiat kościański";0,03;
3012000;"Powiat krotoszyński";47,04;
3013000;"Powiat leszczyński";9,16;
3014000;"Powiat międzychodzki";104,53;
3015000;"Powiat nowotomyski";55,13;
3017000;"Powiat ostrowski";114,99;
3018000;"Powiat ostrzeszowski";15,81;
3019000;"Powiat pilski";124,56;
3021000;"Powiat poznański";15,98;
3022000;"Powiat rawicki";78,07;
3023000;"Powiat słupecki";27,59;
3024000;"Powiat szamotulski";132,49;
3025000;"Powiat średzki";89,79;
3026000;"Powiat śremski";38,60;
3027000;"Powiat turecki";9,24;
3028000;"Powiat wągrowiecki";5,05;
3029000;"Powiat wolsztyński";23,04;
3030000;"Powiat wrzesiński";66,10;
3031000;"Powiat złotowski";18,70;
3061000;"Powiat m. Kalisz";1707,78;
3062000;"Powiat m. Konin";66698,87;
3063000;"Powiat m. Leszno";1779,88;
3064000;"Powiat m. Poznań";7198,42;
3201000;"Powiat białogardzki";134,97;
3202000;"Powiat choszczeński";7,32;
3203000;"Powiat drawski";13,96;
3204000;"Powiat goleniowski";25,83;
3206000;"Powiat gryfiński";1257,50;
3207000;"Powiat kamieński";0,23;
3208000;"Powiat kołobrzeski";118,24;
3209000;"Powiat koszaliński";11,56;
3210000;"Powiat myśliborski";76,14;
3211000;"Powiat policki";1998,14;
3212000;"Powiat pyrzycki";0,34;
3213000;"Powiat sławieński";26,57;
3214000;"Powiat stargardzki";96,16;
3215000;"Powiat szczecinecki";310,68;
3216000;"Powiat świdwiński";19,29;
3217000;"Powiat wałecki";70,60;
3218000;"Powiat łobeski";15,11;
3261000;"Powiat m. Koszalin";1306,50;
3262000;"Powiat m. Szczecin";4946,34;
3263000;"Powiat m. Świnoujście";332,77;
