Nazwa;emisja szkodliwych gazów na km2;Wspó³czynnik zawartych ma³¿eñstw;Nak³ady inwestycyjne w przedsiêbiorstwach ;Poszkodowani w wypadkach przy pracy;wspó³czynnik skolaryzacji netto;Stopa bezrobocia;Przeciêtne wynagrodzenie brutto
;2021;2021;2021;2021;2021;2021;2021
;tona;1/1000 mieszkañcow;Na 1 mieszkañca;Na 1000 osób pracuj¹cych;%;%;z³
Powiat tatrzañski;2,30;4,6;2335;2,82;91,15;8,1;5056,45
Powiat wadowicki;68,07;4,5;1892;3,56;94,80;5,6;4936,99
Powiat wielicki;42,62;4,2;6000;5,49;91,69;4,5;5369,27
Powiat m. Kraków;8167,34;6,1;6055;3,32;106,46;2,8;7203,41
Powiat m. Nowy S¹cz;2725,34;4,6;6108;5,48;103,75;3,1;4838,59
Powiat m. Tarnów;14073,43;3,5;6426;5,38;110,15;4,2;6035,40
Powiat bia³obrzeski;13,56;5,6;2315;1,74;92,11;9,1;4968,13
Powiat ciechanowski;361,72;4,4;4526;7,27;95,34;8,8;5411,99
Powiat garwoliñski;13,59;5,4;2747;3,73;95,73;10,5;5145,34
Powiat gostyniñski;37,79;4,2;1632;3,25;87,46;13,2;5166,55
Powiat grodziski;17,04;4,6;5972;3,08;102,44;3,5;6355,26
Powiat grójecki;92,14;5,0;8588;3,30;96,78;2,3;5631,52
Powiat kozienicki;17363,13;4,8;5763;2,94;92,23;11,8;6517,33
Powiat legionowski;197,19;4,3;2231;3,15;91,99;7,4;5512,45
Powiat lipski;5,33;3,9;525;1,00;89,41;13,2;5096,43
Powiat ³osicki;50,39;4,9;4323;3,61;93,17;6,6;4853,59
Powiat makowski;1,19;4,8;789;4,22;94,07;18,8;4766,83
Powiat miñski;55,59;4,2;3240;4,07;101,26;4,9;5091,06
Powiat m³awski;9,83;5,0;5393;3,76;94,83;5,9;4873,48
Powiat nowodworski;87,08;4,9;11318;3,96;95,22;6,3;6814,66
Powiat ostro³êcki;6,21;4,9;2289;4,79;84,25;11,5;4940,39
Powiat ostrowski;111,14;4,4;2868;3,03;93,22;9,8;5168,08
Powiat otwocki;24,89;4,2;4502;3,92;95,80;4,3;5622,45
Powiat piaseczyñski;2,36;4,0;4489;2,02;96,02;3,1;5664,70
Powiat p³ocki;1,18;4,6;2108;4,19;81,42;13,0;5147,98
Powiat p³oñski;49,36;4,4;1419;2,50;95,08;9,5;5279,65
Powiat pruszkowski;532,98;3,7;7636;4,72;92,81;2,9;6773,28
Powiat przasnyski;19,45;4,3;2865;2,69;94,74;9,4;5095,27
Powiat przysuski;25,89;4,9;1092;1,79;92,56;19,3;5190,17
Powiat pu³tuski;17,79;3,9;884;2,89;95,44;15,1;4975,47
Powiat radomski;20,31;4,6;1732;3,12;85,89;19,0;4859,10
Powiat siedlecki;8,27;5,1;1563;5,94;83,95;5,1;4861,68
Powiat sierpecki;48,38;4,3;2807;1,92;92,52;14,7;4886,81
Powiat sochaczewski;54,24;5,0;6398;4,74;97,33;4,2;6294,23
Powiat soko³owski;28,44;4,8;6381;9,36;93,95;6,1;4932,00
Powiat szyd³owiecki;29,77;4,5;1044;2,42;88,65;26,3;4642,61
Powiat warszawski zachodni;38,09;3,8;7808;3,54;92,27;1,8;6524,02
Powiat wêgrowski;8,16;5,1;4945;3,49;94,64;7,1;5150,92
Powiat wo³omiñski;48,40;4,5;2438;3,09;95,69;7,5;5451,36
Powiat wyszkowski;62,86;4,6;3892;4,31;95,82;3,8;4816,43
Powiat zwoleñski;5,51;4,6;860;3,05;91,06;13,9;4990,00
Powiat ¿uromiñski;14,58;4,6;800;2,89;92,22;17,1;4781,49
Powiat ¿yrardowski;103,47;4,9;3372;3,35;94,41;9,8;5645,54
Powiat m. Ostro³êka;79864,64;4,8;10163;5,75;115,02;8,2;6091,07
Powiat m. P³ock;79250,10;4,1;29138;4,33;111,30;6,1;7167,40
Powiat m. Radom;2535,57;4,7;5046;4,48;102,25;10,5;5626,71
Powiat m. Siedlce;5116,75;4,3;2780;5,06;110,85;4,3;5707,14
Powiat m. st. Warszawa;11356,45;4,6;19592;3,43;101,89;1,7;7687,58
Powiat brzeski;123,53;3,6;2718;5,69;91,02;8,3;5157,08
Powiat g³ubczycki;14,16;3,5;1064;3,70;89,64;10,6;5181,69
Powiat kêdzierzyñsko-kozielski;1977,17;4,2;6143;8,07;96,03;8,1;6015,26
Powiat kluczborski;67,28;4,8;1013;7,61;92,21;7,9;5108,36
Powiat krapkowicki;8899,27;4,2;4603;5,76;93,86;5,9;5787,32
Powiat namys³owski;45,79;4,3;2768;5,20;91,65;9,0;5293,47
Powiat nyski;367,67;3,9;6299;6,99;90,14;8,4;5053,60
Powiat oleski;22,79;4,7;2353;4,36;94,91;4,6;4916,44
Powiat opolski;210,69;3,6;2151;5,21;86,55;6,7;5101,21
Powiat prudnicki;32,40;4,5;1737;4,62;93,97;9,1;4808,55
Powiat strzelecki;119,79;4,0;4470;8,70;94,10;4,6;5238,85
Powiat m. Opole;75935,80;4,2;9954;6,42;106,37;3,2;6011,09
Powiat bieszczadzki;20,60;4,1;1209;6,38;88,19;17,3;5297,99
Powiat brzozowski;1,33;4,8;973;6,19;92,10;22,3;4619,14
Powiat dêbicki;103,75;4,8;5911;5,42;91,70;5,3;5047,12
Powiat jaros³awski;173,61;4,4;5706;4,67;90,58;13,3;4926,98
Powiat jasielski;199,00;4,6;1922;5,76;90,99;14,1;4953,43
Powiat kolbuszowski;61,40;4,5;2008;2,73;83,80;9,4;4624,19
Powiat kroœnieñski;43,80;4,3;1523;3,27;85,77;7,8;4432,75
Powiat le¿ajski;243,30;4,4;1698;3,90;89,34;17,4;4829,48
Powiat lubaczowski;0,43;4,4;1094;4,36;88,01;12,4;4600,59
Powiat ³añcucki;97,87;4,0;6386;4,21;91,77;12,3;4735,69
Powiat mielecki;240,98;4,5;5004;3,27;92,62;5,1;5233,93
Powiat przemyski;0,08;4,7;7001;3,49;75,02;20,5;4472,14
Powiat przeworski;5,82;4,9;4366;5,47;92,66;15,9;4697,54
Powiat ropczycko-sêdziszowski;113,82;4,6;1801;3,36;91,75;13,1;4730,10
Powiat rzeszowski;36,65;4,6;5164;4,66;86,60;9,8;4995,32
Powiat sanocki;58,82;3,9;6306;5,52;88,06;7,4;4903,78
Powiat stalowowolski;203,18;4,1;3902;4,26;91,55;5,6;5263,24
Powiat tarnobrzeski;61,71;3,5;2533;4,80;82,67;9,0;5181,79
Powiat leski;0,09;4,7;2178;4,77;86,63;19,6;5247,07
Powiat m. Krosno;2678,89;3,7;5283;4,88;111,52;2,4;4981,20
Powiat m. Przemyœl;1795,96;3,6;3826;5,27;109,84;11,0;5100,21
Powiat m. Rzeszów;4186,53;4,7;6493;4,90;108,35;4,9;6072,54
Powiat m. Tarnobrzeg;758,09;3,9;1362;4,39;100,28;8,9;5062,44
Powiat augustowski;28,13;4,2;2196;5,40;90,83;10,0;5452,84
Powiat bia³ostocki;59,58;4,3;3042;6,61;71,04;9,5;4979,46
Powiat bielski;15,43;4,3;3670;13,84;90,34;4,4;6292,55
Powiat grajewski;348,49;4,0;3472;5,75;88,66;12,8;5526,33
Powiat hajnowski;37,92;3,7;3331;12,83;88,86;8,2;5821,15
Powiat kolneñski;22,59;4,5;2312;4,12;89,91;18,2;4825,66
Powiat ³om¿yñski;20,39;4,7;4075;7,18;80,17;5,7;5432,47
Powiat moniecki;23,79;4,7;589;3,69;84,51;8,5;4979,24
Powiat sejneñski;4,04;4,2;2536;2,53;83,13;12,3;4537,00
Powiat siemiatycki;10,10;4,4;4170;10,47;87,24;6,8;4834,47
Powiat sokólski;17,25;4,6;4020;6,33;86,15;12,3;4968,42
Powiat wysokomazowiecki;61,52;5,0;11161;3,50;89,68;7,3;5395,07
Powiat zambrowski;225,18;3,7;5288;3,86;90,28;7,3;5085,38
Powiat m. Bia³ystok;8870,68;4,3;3710;5,58;113,27;6,1;5650,97
Powiat m. £om¿a;2616,97;4,2;5208;6,80;104,75;6,8;5352,29
Powiat m. Suwa³ki;2749,11;4,5;3321;7,62;100,47;5,1;4966,63
Powiat bytowski;18,37;4,9;3322;6,66;89,79;9,1;5373,68
Powiat chojnicki;23,49;4,9;2559;7,48;93,92;8,5;4805,13
Powiat cz³uchowski;14,03;3,5;2053;9,68;88,43;11,5;5002,55
Powiat gdañski;3,34;4,5;5292;4,91;96,29;4,8;5484,63
Powiat kartuski;12,14;5,0;2471;4,97;92,70;3,8;4933,56
Powiat koœcierski;41,93;4,5;3673;4,73;94,50;7,3;4810,12
Powiat kwidzyñski;1854,81;3,7;2940;4,86;89,93;7,3;5205,22
Powiat lêborski;182,50;4,1;2257;5,34;93,44;10,7;5316,30
Powiat malborski;203,70;4,1;3358;6,37;92,09;9,0;4873,92
Powiat nowodworski;6,09;4,7;3017;2,76;88,81;13,9;5077,72
Powiat pucki;14,04;4,5;4786;6,48;89,62;6,3;5205,94
Powiat s³upski;12,45;4,1;4212;5,63;85,71;10,1;5105,88
Powiat starogardzki;279,37;4,3;3214;4,61;91,53;6,1;5635,66
Powiat tczewski;185,12;4,6;3665;5,81;95,51;6,3;5455,53
Powiat wejherowski;75,20;5,1;3083;4,69;94,82;5,5;5056,01
Powiat sztumski;45,97;3,8;1796;8,28;83,79;7,4;4984,90
Powiat m. Gdañsk;12623,73;5,4;9949;4,16;102,10;2,9;7084,42
Powiat m. Gdynia;5055,37;4,6;6321;5,15;96,21;2,4;6298,57
Powiat m. S³upsk;3580,47;4,1;5071;8,48;104,21;5,5;5375,69
Powiat m. Sopot;7,88;4,7;4345;3,31;113,80;1,7;7331,15
Powiat bêdziñski;5883,06;3,6;4401;5,83;88,58;7,2;5088,35
Powiat bielski;746,49;4,3;7219;4,87;90,26;3,9;5205,16
Powiat cieszyñski;150,55;4,3;3397;4,65;93,76;5,5;5109,39
Powiat czêstochowski;275,37;4,0;2131;3,77;86,09;8,4;5015,76
Powiat gliwicki;351,46;3,9;5741;5,18;91,72;5,1;5062,72
Powiat k³obucki;36,09;4,6;3882;3,41;91,43;8,5;4435,67
Powiat lubliniecki;35,34;4,1;3575;5,00;94,88;5,6;5038,72
Powiat miko³owski;13483,49;4,6;3599;8,50;94,62;3,7;5294,33
Powiat myszkowski;43,47;3,8;3029;2,87;94,36;7,0;5006,82
Powiat pszczyñski;464,76;4,7;6913;7,14;95,89;3,4;5270,28
Powiat raciborski;195,23;4,2;5226;7,21;95,85;4,9;5907,56
Powiat rybnicki;99,44;4,3;2895;6,56;93,42;5,9;5078,82
Powiat tarnogórski;747,42;4,2;3875;5,30;93,74;6,0;5320,63
Powiat bieruñsko-lêdziñski;463,07;4,2;8346;15,52;92,46;2,0;5054,59
Powiat wodzis³awski;1405,22;4,6;3525;4,35;94,79;5,9;4708,55
Powiat zawierciañski;279,39;3,9;3954;5,81;94,55;5,6;5807,30
Powiat ¿ywiecki;61,00;4,7;2657;4,88;98,68;6,7;5437,65
Powiat m. Bielsko-Bia³a;2017,54;3,9;7048;4,70;106,10;2,2;5789,65
Powiat m. Bytom;1652,64;4,5;1912;5,00;94,27;8,6;5562,14
Powiat m. Chorzów;47897,42;4,7;6779;7,10;98,96;3,4;5282,22
Powiat m. Czêstochowa;7519,76;4,4;3781;4,01;103,24;3,6;5307,19
Powiat m. D¹browa Górnicza;48368,85;3,6;11159;5,78;97,81;4,8;6360,81
Powiat m. Gliwice;3520,40;4,7;11560;7,10;99,55;3,0;6698,45
Powiat m. Jastrzêbie-Zdrój;6848,87;4,5;5839;7,43;96,57;4,7;8987,51
Powiat m. Jaworzno;39488,01;4,3;3134;7,63;94,53;4,6;6435,97
Powiat m. Katowice;6055,65;4,7;8100;5,30;106,52;1,8;6924,74
Powiat m. Mys³owice;1585,76;4,4;3462;7,40;91,59;6,0;5216,97
Powiat m. Piekary Œl¹skie;2259,58;4,5;2027;7,94;96,46;6,9;5732,54
Powiat m. Ruda Œl¹ska;2477,65;4,7;3428;11,87;93,42;2,6;5318,24
Powiat m. Rybnik;35390,75;4,9;4893;8,33;96,56;3,2;5447,31
Powiat m. Siemianowice Œl¹skie;1114,92;4,5;3471;5,89;95,41;4,3;5389,44
Powiat m. Sosnowiec;1452,56;4,1;3753;6,53;97,60;6,1;5551,62
Powiat m. Œwiêtoch³owice;4299,15;4,3;988;5,34;90,29;5,3;4816,93
Powiat m. Tychy;9902,21;4,1;9153;5,22;97,54;2,1;5586,31
Powiat m. Zabrze;6976,99;4,2;4767;6,65;96,41;5,2;5824,86
Powiat m. ¯ory;1190,49;4,8;4969;6,62;96,89;3,7;5195,58
Powiat buski;28,52;4,4;1486;4,42;91,71;4,9;4912,74
Powiat jêdrzejowski;838,37;4,0;1879;4,57;92,80;7,7;5350,78
Powiat kazimierski;9,59;4,2;1360;1,47;91,25;11,9;4616,89
Powiat kielecki;683,72;4,4;1529;4,04;85,19;9,5;4789,44
Powiat konecki;173,94;4,5;1870;4,30;91,15;11,6;4922,90
Powiat opatowski;2338,13;4,2;1761;2,92;86,96;17,1;4619,32
Powiat ostrowiecki;450,35;3,7;2799;4,70;89,71;10,3;4912,01
Powiat piñczowski;142,41;4,6;1675;5,13;92,24;8,1;4885,52
Powiat sandomierski;199,08;4,3;1307;5,12;92,27;7,8;5414,24
Powiat skar¿yski;124,71;3,8;2234;4,48;88,71;16,5;5118,05
Powiat starachowicki;299,73;4,1;5470;7,34;91,36;9,8;5500,36
Powiat staszowski;8934,20;4,8;3425;4,39;91,90;6,7;5167,98
Powiat w³oszczowski;484,29;4,8;3466;1,91;91,96;7,9;5238,84
Powiat m. Kielce;3105,55;3,7;5628;7,25;106,40;5,2;5648,73
Powiat bartoszycki;18,48;4,0;935;7,73;89,56;19,8;4953,67
Powiat braniewski;27,69;3,6;1694;4,50;86,85;18,6;4875,92
Powiat dzia³dowski;51,09;5,4;3053;7,59;92,40;12,4;4657,91
Powiat elbl¹ski;26,57;3,6;1969;8,32;74,81;14,7;4690,74
Powiat e³cki;120,12;4,4;5025;4,91;88,72;12,0;4764,65
Powiat gi¿ycki;35,99;3,9;2331;7,87;90,82;8,9;4901,26
Powiat i³awski;86,12;4,5;3584;6,17;92,61;4,2;4557,38
Powiat kêtrzyñski;26,30;2,8;1589;9,35;87,90;19,8;4881,27
Powiat lidzbarski;59,05;3,4;2660;8,24;89,56;12,7;4700,72
Powiat mr¹gowski;61,71;3,5;5523;5,21;90,92;9,7;4714,65
Powiat nidzicki;11,69;3,9;2026;6,04;89,33;6,0;4657,75
Powiat nowomiejski;16,60;4,4;2112;4,23;90,07;10,6;4342,17
Powiat olecki;52,73;3,3;2004;4,41;91,43;11,0;4920,30
Powiat olsztyñski;16,21;3,9;3056;5,51;77,34;8,0;5205,74
Powiat ostródzki;76,62;3,7;2481;6,12;90,17;9,6;4851,18
Powiat piski;46,70;4,2;1263;6,24;87,12;14,3;4968,35
