Kod,Nazwa,emisja ogółem na km2;2021;[t],ogółem;2021;[-],nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł],poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba],współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%],ogółem;2021;[%],ogółem;2021;[zł]
1211000,Powiat nowotarski,"14,12","4,6",2065,"3,26","91,97","7,2","4664,68"
1212000,Powiat olkuski,"550,69","4,1",5312,"5,91","94,46","7,5","5266,62"
1213000,Powiat oświęcimski,"1596,62","4,4",6247,"5,94","97,41","6,0","5422,84"
1214000,Powiat proszowicki,"7,68","4,2",1002,"2,88","91,73","6,3","4968,09"
1215000,Powiat suski,"33,35","4,9",3994,"4,50","91,64","5,5","4955,34"
1216000,Powiat tarnowski,"47,82","4,8",1317,"3,61","86,38","8,2","4516,68"
1217000,Powiat tatrzański,"2,30","4,6",2335,"2,82","91,15","8,1","5056,45"
1218000,Powiat wadowicki,"68,07","4,5",1892,"3,56","94,80","5,6","4936,99"
1219000,Powiat wielicki,"42,62","4,2",6000,"5,49","91,69","4,5","5369,27"
1261000,Powiat m. Kraków,"8167,34","6,1",6055,"3,32","106,46","2,8","7203,41"
1262000,Powiat m. Nowy Sącz,"2725,34","4,6",6108,"5,48","103,75","3,1","4838,59"
1263000,Powiat m. Tarnów,"14073,43","3,5",6426,"5,38","110,15","4,2","6035,40"
1401000,Powiat białobrzeski,"13,56","5,6",2315,"1,74","92,11","9,1","4968,13"
1402000,Powiat ciechanowski,"361,72","4,4",4526,"7,27","95,34","8,8","5411,99"
1403000,Powiat garwoliński,"13,59","5,4",2747,"3,73","95,73","10,5","5145,34"
1404000,Powiat gostyniński,"37,79","4,2",1632,"3,25","87,46","13,2","5166,55"
1405000,Powiat grodziski,"17,04","4,6",5972,"3,08","102,44","3,5","6355,26"
1406000,Powiat grójecki,"92,14","5,0",8588,"3,30","96,78","2,3","5631,52"
1407000,Powiat kozienicki,"17363,13","4,8",5763,"2,94","92,23","11,8","6517,33"
1408000,Powiat legionowski,"197,19","4,3",2231,"3,15","91,99","7,4","5512,45"
1409000,Powiat lipski,"5,33","3,9",525,"1,00","89,41","13,2","5096,43"
1410000,Powiat łosicki,"50,39","4,9",4323,"3,61","93,17","6,6","4853,59"
1411000,Powiat makowski,"1,19","4,8",789,"4,22","94,07","18,8","4766,83"
1412000,Powiat miński,"55,59","4,2",3240,"4,07","101,26","4,9","5091,06"
1413000,Powiat mławski,"9,83","5,0",5393,"3,76","94,83","5,9","4873,48"
