"Kod";"Nazwa";"ogółem;2021;[%]";
2011000;"Powiat sokólski";12,3;
2012000;"Powiat suwalski";5,4;
2013000;"Powiat wysokomazowiecki";7,3;
2014000;"Powiat zambrowski";7,3;
2061000;"Powiat m. Białystok";6,1;
2062000;"Powiat m. Łomża";6,8;
2063000;"Powiat m. Suwałki";5,1;
2201000;"Powiat bytowski";9,1;
2202000;"Powiat chojnicki";8,5;
2203000;"Powiat człuchowski";11,5;
2204000;"Powiat gdański";4,8;
2205000;"Powiat kartuski";3,8;
2206000;"Powiat kościerski";7,3;
2207000;"Powiat kwidzyński";7,3;
2208000;"Powiat lęborski";10,7;
2209000;"Powiat malborski";9,0;
2210000;"Powiat nowodworski";13,9;
2211000;"Powiat pucki";6,3;
2212000;"Powiat słupski";10,1;
2213000;"Powiat starogardzki";6,1;
2214000;"Powiat tczewski";6,3;
2215000;"Powiat wejherowski";5,5;
2216000;"Powiat sztumski";7,4;
2261000;"Powiat m. Gdańsk";2,9;
2262000;"Powiat m. Gdynia";2,4;
2263000;"Powiat m. Słupsk";5,5;
2264000;"Powiat m. Sopot";1,7;
2401000;"Powiat będziński";7,2;
2402000;"Powiat bielski";3,9;
2403000;"Powiat cieszyński";5,5;
2404000;"Powiat częstochowski";8,4;
2405000;"Powiat gliwicki";5,1;
2406000;"Powiat kłobucki";8,5;
2407000;"Powiat lubliniecki";5,6;
2408000;"Powiat mikołowski";3,7;
2409000;"Powiat myszkowski";7,0;
2410000;"Powiat pszczyński";3,4;
2411000;"Powiat raciborski";4,9;
2412000;"Powiat rybnicki";5,9;
2413000;"Powiat tarnogórski";6,0;
2414000;"Powiat bieruńsko-lędziński";2,0;
2415000;"Powiat wodzisławski";5,9;
2416000;"Powiat zawierciański";5,6;
2417000;"Powiat żywiecki";6,7;
2461000;"Powiat m. Bielsko-Biała";2,2;
2462000;"Powiat m. Bytom";8,6;
2463000;"Powiat m. Chorzów";3,4;
2464000;"Powiat m. Częstochowa";3,6;
2465000;"Powiat m. Dąbrowa Górnicza";4,8;
2466000;"Powiat m. Gliwice";3,0;
