"Kod";"Nazwa";"ogółem;2021;[zł]";
2063000;"Powiat m. Suwałki";4966,63;
2201000;"Powiat bytowski";5373,68;
2202000;"Powiat chojnicki";4805,13;
2203000;"Powiat człuchowski";5002,55;
2204000;"Powiat gdański";5484,63;
2205000;"Powiat kartuski";4933,56;
2206000;"Powiat kościerski";4810,12;
2207000;"Powiat kwidzyński";5205,22;
2208000;"Powiat lęborski";5316,30;
2209000;"Powiat malborski";4873,92;
2210000;"Powiat nowodworski";5077,72;
2211000;"Powiat pucki";5205,94;
2212000;"Powiat słupski";5105,88;
2213000;"Powiat starogardzki";5635,66;
2214000;"Powiat tczewski";5455,53;
2215000;"Powiat wejherowski";5056,01;
2216000;"Powiat sztumski";4984,90;
2261000;"Powiat m. Gdańsk";7084,42;
2262000;"Powiat m. Gdynia";6298,57;
2263000;"Powiat m. Słupsk";5375,69;
2264000;"Powiat m. Sopot";7331,15;
2401000;"Powiat będziński";5088,35;
2402000;"Powiat bielski";5205,16;
2403000;"Powiat cieszyński";5109,39;
2404000;"Powiat częstochowski";5015,76;
2405000;"Powiat gliwicki";5062,72;
2406000;"Powiat kłobucki";4435,67;
2407000;"Powiat lubliniecki";5038,72;
2408000;"Powiat mikołowski";5294,33;
2409000;"Powiat myszkowski";5006,82;
2410000;"Powiat pszczyński";5270,28;
2411000;"Powiat raciborski";5907,56;
2412000;"Powiat rybnicki";5078,82;
2413000;"Powiat tarnogórski";5320,63;
2414000;"Powiat bieruńsko-lędziński";5054,59;
2415000;"Powiat wodzisławski";4708,55;
2416000;"Powiat zawierciański";5807,30;
2417000;"Powiat żywiecki";5437,65;
2461000;"Powiat m. Bielsko-Biała";5789,65;
2462000;"Powiat m. Bytom";5562,14;
2463000;"Powiat m. Chorzów";5282,22;
2464000;"Powiat m. Częstochowa";5307,19;
2465000;"Powiat m. Dąbrowa Górnicza";6360,81;
2466000;"Powiat m. Gliwice";6698,45;
2467000;"Powiat m. Jastrzębie-Zdrój";8987,51;
2468000;"Powiat m. Jaworzno";6435,97;
2469000;"Powiat m. Katowice";6924,74;
2470000;"Powiat m. Mysłowice";5216,97;
2471000;"Powiat m. Piekary Śląskie";5732,54;
2472000;"Powiat m. Ruda Śląska";5318,24;
2473000;"Powiat m. Rybnik";5447,31;
2474000;"Powiat m. Siemianowice Śląskie";5389,44;
2475000;"Powiat m. Sosnowiec";5551,62;
2476000;"Powiat m. Świętochłowice";4816,93;
2477000;"Powiat m. Tychy";5586,31;
2478000;"Powiat m. Zabrze";5824,86;
2479000;"Powiat m. Żory";5195,58;
2601000;"Powiat buski";4912,74;
2602000;"Powiat jędrzejowski";5350,78;
2603000;"Powiat kazimierski";4616,89;
2604000;"Powiat kielecki";4789,44;
2605000;"Powiat konecki";4922,90;
2606000;"Powiat opatowski";4619,32;
2607000;"Powiat ostrowiecki";4912,01;
2608000;"Powiat pińczowski";4885,52;
2609000;"Powiat sandomierski";5414,24;
2610000;"Powiat skarżyski";5118,05;
2611000;"Powiat starachowicki";5500,36;
2612000;"Powiat staszowski";5167,98;
2613000;"Powiat włoszczowski";5238,84;
2661000;"Powiat m. Kielce";5648,73;
2801000;"Powiat bartoszycki";4953,67;
2802000;"Powiat braniewski";4875,92;
2803000;"Powiat działdowski";4657,91;
2804000;"Powiat elbląski";4690,74;
2805000;"Powiat ełcki";4764,65;
2806000;"Powiat giżycki";4901,26;
2807000;"Powiat iławski";4557,38;
2808000;"Powiat kętrzyński";4881,27;
2809000;"Powiat lidzbarski";4700,72;
2810000;"Powiat mrągowski";4714,65;
2811000;"Powiat nidzicki";4657,75;
2812000;"Powiat nowomiejski";4342,17;
2813000;"Powiat olecki";4920,30;
2814000;"Powiat olsztyński";5205,74;
2815000;"Powiat ostródzki";4851,18;
2816000;"Powiat piski";4968,35;
2817000;"Powiat szczycieński";4946,10;
2818000;"Powiat gołdapski";4683,51;
2819000;"Powiat węgorzewski";4766,72;
2861000;"Powiat m. Elbląg";5423,69;
2862000;"Powiat m. Olsztyn";5902,66;
3001000;"Powiat chodzieski";5006,64;
3002000;"Powiat czarnkowsko-trzcianecki";5327,99;
3003000;"Powiat gnieźnieński";5162,09;
3004000;"Powiat gostyński";5174,68;
3005000;"Powiat grodziski";4675,12;
3006000;"Powiat jarociński";4720,74;
3007000;"Powiat kaliski";4553,66;
3008000;"Powiat kępiński";4244,56;
3009000;"Powiat kolski";5346,81;
3010000;"Powiat koniński";4457,33;
3011000;"Powiat kościański";5127,41;
3012000;"Powiat krotoszyński";4285,52;
3013000;"Powiat leszczyński";5274,63;
3014000;"Powiat międzychodzki";4891,36;
3015000;"Powiat nowotomyski";5215,49;
3016000;"Powiat obornicki";5236,25;
3017000;"Powiat ostrowski";4944,70;
3018000;"Powiat ostrzeszowski";4936,59;
3019000;"Powiat pilski";5371,98;
3020000;"Powiat pleszewski";4921,89;
3021000;"Powiat poznański";5054,35;
3022000;"Powiat rawicki";4698,39;
3023000;"Powiat słupecki";4990,83;
3024000;"Powiat szamotulski";5726,53;
3025000;"Powiat średzki";5473,17;
3026000;"Powiat śremski";4935,64;
3027000;"Powiat turecki";4404,21;
3028000;"Powiat wągrowiecki";4879,33;
3029000;"Powiat wolsztyński";4899,60;
3030000;"Powiat wrzesiński";5142,47;
3031000;"Powiat złotowski";4301,59;
3061000;"Powiat m. Kalisz";5158,07;
3062000;"Powiat m. Konin";5369,58;
3063000;"Powiat m. Leszno";5000,33;
3064000;"Powiat m. Poznań";6662,69;
3201000;"Powiat białogardzki";5146,91;
3202000;"Powiat choszczeński";4981,01;
3203000;"Powiat drawski";4789,08;
3204000;"Powiat goleniowski";5439,72;
3205000;"Powiat gryficki";4745,48;
3206000;"Powiat gryfiński";5297,93;
3207000;"Powiat kamieński";4623,87;
3208000;"Powiat kołobrzeski";5000,76;
3209000;"Powiat koszaliński";5100,02;
3210000;"Powiat myśliborski";4927,15;
3211000;"Powiat policki";5844,37;
3212000;"Powiat pyrzycki";5265,00;
3213000;"Powiat sławieński";4747,64;
3214000;"Powiat stargardzki";5126,31;
3215000;"Powiat szczecinecki";5255,69;
3216000;"Powiat świdwiński";4704,50;
3217000;"Powiat wałecki";5224,57;
3218000;"Powiat łobeski";4962,09;
3261000;"Powiat m. Koszalin";5496,02;
3262000;"Powiat m. Szczecin";6244,67;
3263000;"Powiat m. Świnoujście";5564,41;
