"Kod";"Nazwa";"ogółem;2021;[-]";
2405000;"Powiat gliwicki";3,9;
2406000;"Powiat kłobucki";4,6;
2407000;"Powiat lubliniecki";4,1;
2408000;"Powiat mikołowski";4,6;
2409000;"Powiat myszkowski";3,8;
2410000;"Powiat pszczyński";4,7;
2411000;"Powiat raciborski";4,2;
2412000;"Powiat rybnicki";4,3;
2413000;"Powiat tarnogórski";4,2;
2414000;"Powiat bieruńsko-lędziński";4,2;
2415000;"Powiat wodzisławski";4,6;
2416000;"Powiat zawierciański";3,9;
2417000;"Powiat żywiecki";4,7;
2461000;"Powiat m. Bielsko-Biała";3,9;
2462000;"Powiat m. Bytom";4,5;
2463000;"Powiat m. Chorzów";4,7;
2464000;"Powiat m. Częstochowa";4,4;
2465000;"Powiat m. Dąbrowa Górnicza";3,6;
2466000;"Powiat m. Gliwice";4,7;
2467000;"Powiat m. Jastrzębie-Zdrój";4,5;
2468000;"Powiat m. Jaworzno";4,3;
2469000;"Powiat m. Katowice";4,7;
2470000;"Powiat m. Mysłowice";4,4;
2471000;"Powiat m. Piekary Śląskie";4,5;
2472000;"Powiat m. Ruda Śląska";4,7;
2473000;"Powiat m. Rybnik";4,9;
2474000;"Powiat m. Siemianowice Śląskie";4,5;
2475000;"Powiat m. Sosnowiec";4,1;
2476000;"Powiat m. Świętochłowice";4,3;
2477000;"Powiat m. Tychy";4,1;
2478000;"Powiat m. Zabrze";4,2;
2479000;"Powiat m. Żory";4,8;
2601000;"Powiat buski";4,4;
2602000;"Powiat jędrzejowski";4,0;
2603000;"Powiat kazimierski";4,2;
2604000;"Powiat kielecki";4,4;
2605000;"Powiat konecki";4,5;
2606000;"Powiat opatowski";4,2;
2607000;"Powiat ostrowiecki";3,7;
2608000;"Powiat pińczowski";4,6;
2609000;"Powiat sandomierski";4,3;
2610000;"Powiat skarżyski";3,8;
2611000;"Powiat starachowicki";4,1;
2612000;"Powiat staszowski";4,8;
2613000;"Powiat włoszczowski";4,8;
2661000;"Powiat m. Kielce";3,7;
2801000;"Powiat bartoszycki";4,0;
2802000;"Powiat braniewski";3,6;
2803000;"Powiat działdowski";5,4;
2804000;"Powiat elbląski";3,6;
2805000;"Powiat ełcki";4,4;
2806000;"Powiat giżycki";3,9;
2807000;"Powiat iławski";4,5;
2808000;"Powiat kętrzyński";2,8;
2809000;"Powiat lidzbarski";3,4;
2810000;"Powiat mrągowski";3,5;
2811000;"Powiat nidzicki";3,9;
2812000;"Powiat nowomiejski";4,4;
2813000;"Powiat olecki";3,3;
2814000;"Powiat olsztyński";3,9;
2815000;"Powiat ostródzki";3,7;
2816000;"Powiat piski";4,2;
2817000;"Powiat szczycieński";4,3;
2818000;"Powiat gołdapski";3,8;
2819000;"Powiat węgorzewski";3,5;
2861000;"Powiat m. Elbląg";4,5;
2862000;"Powiat m. Olsztyn";4,4;
3001000;"Powiat chodzieski";3,8;
3002000;"Powiat czarnkowsko-trzcianecki";4,0;
3003000;"Powiat gnieźnieński";4,6;
3004000;"Powiat gostyński";4,9;
3005000;"Powiat grodziski";5,4;
3006000;"Powiat jarociński";4,3;
3007000;"Powiat kaliski";3,9;
3008000;"Powiat kępiński";4,7;
3009000;"Powiat kolski";4,4;
3010000;"Powiat koniński";4,7;
3011000;"Powiat kościański";4,7;
3012000;"Powiat krotoszyński";4,8;
3013000;"Powiat leszczyński";5,3;
3014000;"Powiat międzychodzki";3,9;
3015000;"Powiat nowotomyski";4,4;
3016000;"Powiat obornicki";3,9;
3017000;"Powiat ostrowski";4,9;
3018000;"Powiat ostrzeszowski";5,1;
3019000;"Powiat pilski";4,3;
3020000;"Powiat pleszewski";4,5;
3021000;"Powiat poznański";4,3;
3022000;"Powiat rawicki";4,6;
3023000;"Powiat słupecki";4,1;
3024000;"Powiat szamotulski";4,2;
3025000;"Powiat średzki";4,9;
3026000;"Powiat śremski";4,2;
3027000;"Powiat turecki";4,7;
3028000;"Powiat wągrowiecki";4,6;
3029000;"Powiat wolsztyński";4,8;
3030000;"Powiat wrzesiński";5,0;
3031000;"Powiat złotowski";4,5;
3061000;"Powiat m. Kalisz";3,5;
3062000;"Powiat m. Konin";3,9;
3063000;"Powiat m. Leszno";4,1;
3064000;"Powiat m. Poznań";5,0;
3201000;"Powiat białogardzki";4,2;
3202000;"Powiat choszczeński";4,1;
3203000;"Powiat drawski";4,0;
3204000;"Powiat goleniowski";4,1;
3205000;"Powiat gryficki";4,0;
3206000;"Powiat gryfiński";3,9;
3207000;"Powiat kamieński";4,3;
3208000;"Powiat kołobrzeski";4,0;
3209000;"Powiat koszaliński";4,2;
3210000;"Powiat myśliborski";3,8;
3211000;"Powiat policki";3,3;
3212000;"Powiat pyrzycki";4,2;
3213000;"Powiat sławieński";4,2;
3214000;"Powiat stargardzki";4,2;
3215000;"Powiat szczecinecki";4,2;
3216000;"Powiat świdwiński";3,9;
3217000;"Powiat wałecki";3,8;
3218000;"Powiat łobeski";3,8;
3261000;"Powiat m. Koszalin";4,1;
3262000;"Powiat m. Szczecin";4,9;
3263000;"Powiat m. Świnoujście";4,6;
